SNo.,date,startup,vertical,subvertical,city,investors,round,amount,year,month,investors_clean
1617,2016-06-17,Silvan Innovation Labs,Technology,Home Automation Solutions,Bangalore,Infuse Ventures,Private Equity,7.65,2016,6,Infuse Ventures
1618,2016-06-17,Greythr,Technology,Payroll & Hr Software Developer,Bangalore,"New Enterprise Associates (NEA), Blume Ventures",Private Equity,44.2,2016,6,"New Enterprise Associates, Blume Ventures"
1619,2016-06-17,Duffl,E Commerce,Fashion Rental Marketplace,Bangalore,BetOnIndia Technology Pvt Ltd,Seed Funding,0.0,2016,6,Betonindia Technology Pvt Ltd
1620,2016-06-17,Byg,Consumer Internet,Fitness Centre Discovery & Booking Mobile App,Bangalore,"Sanjay Verma, Amit Khanna (LetsVenture)",Seed Funding,0.0,2016,6,"Sanjay Verma, Amit Khanna"
1621,2016-06-20,Dipper,E Commerce,Freight Logistics Marketplace,New Delhi,Undisclosed investor,Seed Funding,0.0,2016,6,Undisclosed Investors
1622,2016-06-20,Qonfuse,Consumer Internet,Online Test Papers For Competitive Exams,New Delhi,Hamraj Kumar,Seed Funding,0.0,2016,6,Hamraj Kumar
1623,2016-06-20,The Indian Iris,Consumer Internet,Govt Policy Research & Information Portal,Ahmedabad,Timbru Ventures,Seed Funding,0.0,2016,6,Timbru Ventures
1624,2016-06-21,Onspoon,Consumer Internet,Online Platform For Event Sponsorship,Mumbai,Swan Angel Network,Seed Funding,1.275,2016,6,Swan Angel Network
1625,2016-06-21,Restate,Consumer Internet,Real Estate Platform,Bangalore,Idein Ventures,Seed Funding,0.0,2016,6,Idein Ventures
1626,2016-06-21,Cleartrip,Consumer Internet,Online Travel Agency,Mumbai,"Concur Technologies, Gund Investment",Private Equity,0.0,2016,6,"Concur Technologies, Gund Investment"
1627,2016-06-21,Procmart,Consumer Internet,Online Procurement Marketplace,Noida,IndiaMart,Private Equity,0.0,2016,6,Indiamart
1628,2016-06-21,Celerix,Technology,Fintech Product Development & Services Startup,Bangalore,Bitkemy Ventures,Seed Funding,3.4,2016,6,Bitkemy Ventures
1629,2016-06-21,Naturenama,Consumer Internet,Online Outdoors & Travel,Mumbai,Unicorn Venture,Seed Funding,1.9125,2016,6,Unicorn Venture
1630,2016-06-21,Cyclopsmedtech,Technology,Medical Technology Provider,Bangalore,CP Bothra,Seed Funding,0.0,2016,6,Cp Bothra
1631,2016-06-21,Syona Cosmetics,FMCG,Beauty Products & Training To Salons & Spas,Chennai,The Chennai Angels,Seed Funding,1.275,2016,6,The Chennai Angels
1632,2016-06-21,Prettysecrets,E Commerce,Women Lingerie Store,Mumbai,"RB Investments PTE Ltd, Orios Venture Partners",Private Equity,51.0,2016,6,"Rb Investments Pte Ltd, Orios Venture Partners"
1633,2016-06-22,Spiderg,Consumer Internet,Online Invoice App For Smes,Pune,"Rahul Kirloskar, Fusion Tech Ventures, Adi Saravanan, Pravin Dongre, Mahendra Doshi",Seed Funding,1.275,2016,6,"Rahul Kirloskar, Fusion Tech Ventures, Adi Saravanan, Pravin Dongre, Mahendra Doshi"
1634,2016-06-23,Fareye,Technology,Logistics Management Software,New Delhi,Saif Partners,Private Equity,29.75,2016,6,Saif Partners
1635,2016-06-23,The Uolo,Consumer Internet,School Parent Communication App,Bangalore,"Purvi Ventures, Rajul Garg, Vipin Arora",Seed Funding,1.785,2016,6,"Purvi Ventures, Rajul Garg, Vipin Arora"
1636,2016-06-23,Staqu,Technology,Artificial Intelligence Based Search Platform,Gurgaon,Indian Angel Network,Seed Funding,0.0,2016,6,Indian Angel Network
1637,2016-06-23,Padhopadhao,Consumer Internet,Home Tutors Search & Discovery,New Delhi,Rise India,Private Equity,0.0,2016,6,Rise India
1638,2016-06-24,Drivify,Consumer Internet,Professional Driver Discovery & Booking Mobile App,Mumbai,"Jitendra Gupta, Pankaj Tripathi",Seed Funding,0.425,2016,6,"Jitendra Gupta, Pankaj Tripathi"
1639,2016-06-24,Pratilipi,Consumer Internet,Multi-Lingual Self-Publishing Platform,Bangalore,Nexus Venture Partners,Seed Funding,0.0,2016,6,Nexus Venture Partners
1640,2016-06-24,Parablu,Technology,Cloud Data Security & Privacy Solutions,Bangalore,Kalaari Capital,Seed Funding,4.25,2016,6,Kalaari Capital
1641,2016-06-24,Schedulers Logistics,Logistics,Cold Storage Logistics Solutions,Mumbai,GVFL,Private Equity,51.0,2016,6,GVFL
1642,2016-06-24,Leap India,Others,Supply Chain Equipment & Services Provider,Mumbai,Mayfield Ventures,Private Equity,25.5,2016,6,Mayfield Ventures
1643,2016-06-24,Kabadiexpress,Others,Free Door Step Scrap Pickup Service,New Delhi,Undisclosed investor,Seed Funding,1.258,2016,6,Undisclosed Investors
1644,2016-06-27,Yourdost,Consumer Internet,Online Counselling & Personal Coaching Platform,Bangalore,"SAIF Partners, Aprameya Radhakrishnan, Phanindra Sama, Subba Rao Telidevara, Vibhu Garg, Paula Ravindra Mariwala, Gaurav Bhalotia",Seed Funding,10.2,2016,6,"Saif Partners, Aprameya Radhakrishnan, Phanindra Sama, Subba Rao Telidevara, Vibhu Garg, Paula Ravindra Mariwala, Gaurav Bhalotia"
1645,2016-06-27,Gomalon,Consumer Internet,Online Spa & Salon Discovery & Booking Platform,Bangalore,Undisclosed investor,Seed Funding,0.85,2016,6,Undisclosed Investors
1646,2016-06-27,Voler Cars,Consumer Internet,Self-Driven Car Rental Platform,New Delhi,"Kanodia family, Amit Banka",Seed Funding,0.0,2016,6,"Kanodia Family, Amit Banka"
1647,2016-06-27,Travelyaari,Consumer Internet,Online Ticket Booking Platform,Bangalore,GVFL Ltd,Private Equity,25.5,2016,6,Gvfl Ltd
1648,2016-06-28,Fabhotels,Consumer Internet,Online Hotel Aggregator & Booking Platform,Gurgaon,"Accel Partners, RB Investments",Private Equity,68.0,2016,6,"Accel, Rb Investments"
1649,2016-06-28,Locanix,Technology,Gps Based Saas Solutions,Ahmedabad,Undisclosed investors,Seed Funding,2.55,2016,6,Undisclosed Investors
1650,2016-06-28,Lending Kart,Consumer Internet,Online Working Capital Business Loans Platform,Ahmedabad,"Bertelsmann India Investments, Mayfield India, Saama Capital, India Quotient",Private Equity,272.0,2016,6,"Bertelsmann India Investments, Mayfield India, Saama Capital, India Quotient"
1651,2016-06-28,Hello Tax,Consumer Internet,Online Tax Filing Platform,New Delhi,Sanjeev Sinha,Seed Funding,2.5075,2016,6,Sanjeev Sinha
1652,2016-06-28,Mysuperbrain,Consumer Internet,Online Talent Discovery Platform For Kids,Hyderabad,Soniks Consulting,Seed Funding,0.0,2016,6,Soniks Consulting
1653,2016-06-28,Blogbeats,Consumer Internet,Online Blogging Platform,Bangalore,Undisclosed Investor,Seed Funding,0.0,2016,6,Undisclosed Investors
1654,2016-06-29,Letreach,E Commerce,Ecommerce Saas Solutions,New Delhi,vCommission,Private Equity,0.85,2016,6,Vcommission
1655,2016-06-29,Trendieapp,Technology,Visual Content Marketing,Kolkata,Harsh Vardhan Hada,Seed Funding,0.425,2016,6,Harsh Vardhan Hada
1656,2016-06-29,Impactguru,Consumer Internet,Crowdfunding Platform,Mumbai,Piyush Jain,Seed Funding,0.0,2016,6,Piyush Jain
1657,2016-06-29,Velvetcase,E Commerce,Online Designer Jewellery Marketplace,Mumbai,"Uniqorn Ventures Fund, TV Mohandas Pai, S Somasegar",Private Equity,12.75,2016,6,"Uniqorn Ventures Fund, Tv Mohandas Pai, S Somasegar"
1658,2016-06-30,Meru Cabs,Consumer Internet,Online/ Mobile Tax Cab Booking,Mumbai,Brand Capital,Private Equity,212.5,2016,6,Brand Capital
1659,2016-06-30,Campus Diaries,Consumer Internet,Student Focussed Content Discovery Portal,Bangalore,Aarin Capital,Seed Funding,1.87,2016,6,Aarin Capital
1660,2016-06-30,Scripbox,Consumer Internet,Online Mutual Fund Investment Platform,Bangalore,"Omidyar Network, Accel Partners & existing investors",Private Equity,0.0,2016,6,"Omidyar Network, Accel, Existing Investors"
1661,2016-06-30,Biryani Blues,Food and Beverages,Qsr Chain,Gurgaon,Carpediem Capital & Others,Private Equity,3.128,2016,6,"Carpediem Capital, Undisclosed Investors"
1662,2016-05-01,Motomojo,Consumer Internet,Mobile Based Vehicle Maintenance App,Mumbai,"Niloufer Dundh, Fauzan Rahim, Balamurugan Mani,",Seed Funding,0.0,2016,5,"Niloufer Dundh, Fauzan Rahim, Balamurugan Mani"
1663,2016-05-01,Get My Parking,Technology,Parking Technology Platform,New Delhi,The Chennai Angels,Seed Funding,3.196,2016,5,The Chennai Angels
1664,2016-05-01,Prescribez,Consumer Internet,Health Service Aggregator Platform,Pune,Ankush Mehta,Seed Funding,1.2325,2016,5,Ankush Mehta
1665,2016-05-02,Airwood,Technology,Agri Data & Analytics Platform,Chennai,StartupXseed Ventures,Seed Funding,0.0,2016,5,Startupxseed Ventures
1666,2016-05-03,Mobikwik,Consumer Internet,Mobile & Digital Wallet,Gurgaon,"GMO Payment Gateway, MediaTek",Private Equity,425.0,2016,5,"Gmo Payment Gateway, Mediatek"
1667,2016-05-03,Idreamcareer,Consumer Internet,Career Pla Ing Services Portal,New Delhi,Brand Capital,Private Equity,0.0,2016,5,Brand Capital
1668,2016-05-03,Zwayam,Consumer Internet,Online Recruitment Platform,Bangalore,Undisclosed investors,Seed Funding,2.125,2016,5,Undisclosed Investors
1669,2016-05-03,Boibanit,Consumer Internet,Online Food Delivery Platform,Vadodara,Undisclosed investors,Seed Funding,0.0,2016,5,Undisclosed Investors
1670,2016-05-03,Zuver,Consumer Internet,Car Driver Discovery App,Mumbai,"Shruth & Smith Group, Hermes Group",Seed Funding,1.53,2016,5,"Shruth, Smith Group, Hermes Group"
1671,2016-05-03,Prepathon,Education,Competitive Exam Learning Platform,Mumbai,Blume Ventures,Private Equity,0.0,2016,5,Blume Ventures
1672,2016-05-04,Easyroads,Consumer Internet,Road Trip Pla Ing Mobile App,Mumbai,"Rohan Angrish, Hrishi Oberoi, Rahul Mehta, Kapil Hetamsaria, Pranav Dedhia",Seed Funding,1.7,2016,5,"Rohan Angrish, Hrishi Oberoi, Rahul Mehta, Kapil Hetamsaria, Pranav Dedhia"
1673,2016-05-04,Lenskart,E Commerce,Eyewear & Accessories Etailer,New Delhi,"International Finance Corp, TPG Growth, Adveq Management, IDG Ventures, Ratan Tata, Kris Gopalakrishnan",Private Equity,510.0,2016,5,"International Finance Corp, Tpg Growth, Adveq Management, Idg Ventures, Ratan Tata, Kris Gopalakrishnan"
1674,2016-05-04,Seclore,Technology,Enterprise Security Technology Platform,Mumbai,"Sistema Asia Fund, Helion Venture, VentureEast, India Alternatives",Private Equity,102.0,2016,5,"Sistema Asia Fund, Helion Venture, Ventureeast, India Alternatives"
1675,2016-05-04,Solartown,Technology,Solar Rooftop System Installation Company,Chennai,Grex.in,Seed Funding,1.7,2016,5,Grex.In
1676,2016-05-04,Comarete,Technology,Telecom & Media It Services Company,Pune,Grex.in,Seed Funding,1.7,2016,5,Grex.In
1677,2016-05-04,Mydentistchoice,E Commerce,Medical Supplies Etailer,Hyderabad,Undisclosed investors,Seed Funding,1.275,2016,5,Undisclosed Investors
1678,2016-05-04,Activeai,Technology,Intelligent Tech Platform For Finance Vertical,Singapore,Kalaari Capital Accelerator Program,Seed Funding,4.25,2016,5,Kalaari Capital
1679,2016-05-04,Affordplan,Technology,Affordable Non-Emergency Medical Service Health Plans,New Delhi,Kalaari Capital Accelerator Program,Seed Funding,4.25,2016,5,Kalaari Capital
1680,2016-05-04,Indee,Consumer Internet,Web Video Streaming Platform,Bangalore,Kalaari Capital Accelerator Program,Seed Funding,4.25,2016,5,Kalaari Capital
1681,2016-05-05,Unbxd,Technology,Ecommerce Product Discovery Software,New Delhi,"IDG Ventures, Inventus Capital, Indian Angel Network",Private Equity,0.0,2016,5,"Idg Ventures, Inventus Capital, Indian Angel Network"
1682,2016-05-05,Weballigator,Consumer Internet,Cloud Based Software Solutions,Bangalore,Group of undisclosed Angel Investors & HNIs,Seed Funding,3.1875,2016,5,"Group Of Undisclosed Angel Investors, Hnis"
1683,2016-05-06,Eduace Services,Education,Education Workshops & Mentoring Programs,Lucknow,MoMagic Technologies,Private Equity,8.5,2016,5,Momagic Technologies
1684,2016-05-06,Meesho,E Commerce,Social Commerce Platform,Bangalore,Rajul Garg & Others,Seed Funding,0.0,2016,5,"Rajul Garg, Undisclosed Investors"
1685,2016-05-07,Zebroads,Logistics,Logistics And Warehousing Services,Hyderabad,Undisclosed investors,Seed Funding,0.6375,2016,5,Undisclosed Investors
1686,2016-05-09,Locus,Technology,Logistics Intelligence Platform,Bangalore,"Exfinity Venture Partners, Blume Ventures, BeeNext, Rajesh Ranavat",Private Equity,23.375,2016,5,"Exfinity Venture Partners, Blume Ventures, Beenext, Rajesh Ranavat"
1687,2016-05-09,Toko Innovations,Consumer Internet,Childrens Entertainment Portal,Bangalore,"Roopak Saluja, Vishal Khare",Seed Funding,3.825,2016,5,"Roopak Saluja, Vishal Khare"
1688,2016-05-09,Rentickle,E Commerce,"Furniture, Appliances Portal",New Delhi,"Manish Kheterpal, Vinay Mittal, Dinesh Mittal, Sandeep Gupta",Seed Funding,2.125,2016,5,"Manish Kheterpal, Vinay Mittal, Dinesh Mittal, Sandeep Gupta"
1689,2016-05-10,Healthifyme,Consumer Internet,Health & Fitness App,Bangalore,"IDG Ventures India, Inventus Capital, Blume Ventures",Private Equity,51.0,2016,5,"Idg Ventures India, Inventus Capital, Blume Ventures"
1690,2016-05-10,Zarget,Consumer Internet,Conversion Rate Optimization Platform,Chennai,"Accel Partners, Matrix Partners, Girish Mathrubootham",Private Equity,12.75,2016,5,"Accel, Matrix Partners, Girish Mathrubootham"
1691,2016-05-10,Innonano Research,Technology,Clean Water Technology,Chennai,NanoHoldings,Private Equity,153.0,2016,5,Nanoholdings
1692,2016-05-10,Schoolwear,E Commerce,School Uniform & Supplies Marketplace,Mumbai,Undisclosed investors,Seed Funding,12.75,2016,5,Undisclosed Investors
1693,2016-05-10,Swiggy,Consumer Internet,Food Delivery Platform,Bangalore,"Norwest Venture Partners, DST Global, Accel Partners",Private Equity,59.5,2016,5,"Norwest Venture Partners, Dst Global, Accel"
1694,2016-05-11,Zenify,Consumer Internet,Home Rental Discovery & Booking Portal,Bangalore,Undisclosed Investors,Private Equity,7.65,2016,5,Undisclosed Investors
1695,2016-05-11,Faircent,Consumer Internet,Online Peer To Peer Lending Platform,Gurgaon,"JM Financial Products Ltd, Arun Tadanki, Doreswamy Nandkishore, Kshitij Jain",Private Equity,0.0,2016,5,"Jm Financial Products Ltd, Arun Tadanki, Doreswamy Nandkishore, Kshitij Jain"
