SNo.,date,startup,vertical,subvertical,city,investors,round,amount,year,month,investors_clean
1,2020-01-09,Byjus,E-Tech,E-Learning,Bangalore,Tiger Global Management,Private Equity,1700.0,2020,1,Tiger Global
2,2020-01-13,Shuttl,Transport,App Based Shuttle Service,Gurgaon,Susquehanna Growth Equity,Series C,68.411349,2020,1,Susquehanna Growth Equity
3,2020-01-09,Mamaearth,E Commerce,Retailer Of Baby And Toddler Products,Bangalore,Sequoia Capital India,Series B,156.05031,2020,1,Sequoia Capital
4,2020-01-02,Wealthbucket,Finance,Online Investment,New Delhi,Vinod Khatumal,Pre Series A,25.5,2020,1,Vinod Khatumal
5,2020-01-02,Fashor,Fashion and Apparel,Embroiled Clothes For Women,Mumbai,Sprout Venture Partners,Seed Funding,15.3,2020,1,Sprout Venture Partners
6,2020-01-13,Pando,Logistics,"Open-Market, Freight Management Platform",Chennai,Chiratae Ventures,Series A,76.5,2020,1,Chiratae Ventures
7,2020-01-10,Zomato,Hospitality,Online Food Delivery Platform,Gurgaon,Ant Financial,Private Equity,1275.0,2020,1,Ant Financial
8,2019-12-12,Ecozen,Technology,Agritech,Pune,Sathguru Catalyzer Advisors,Series A,51.0,2019,12,Sathguru Catalyzer Advisors
9,2019-12-06,Cardekho,E Commerce,Automobile,Gurgaon,Ping An Global Voyager Fund,Series D,595.0,2019,12,Ping An Global Voyager Fund
10,2019-12-03,Dhruva Space,Aerospace,Satellite Communication,Bangalore,"Mumbai Angels, Ravikanth Reddy",Seed Funding,425.0,2019,12,"Mumbai Angels, Ravikanth Reddy"
11,2019-12-13,Rivigo,Technology,Logistics Services And Solutions,Gurgaon,"SAIF Partners, Spring Canter Investment Ltd.",Series F,170.0,2019,12,"Saif Partners, Spring Canter Investment Ltd"
12,2019-12-17,Healthians,B2B-focused foodtech startup,Food Solutions For Corporate,Bangalore,"Paytm, NPTK, Sabre Partners and Neoplux",Series C,102.0,2019,12,"Paytm, NPTK, Sabre Partners, Neoplux"
13,2019-12-16,Licious,E Commerce,Online Meat And Seafood Ordering Startup,Bangalore,Vertex Growth Fund,Series E,255.0,2019,12,Vertex Growth Fund
14,2019-12-16,Incred,Finance,Non-Banking Financial Company,Mumbai,Undisclosed Investors,Debt Funding,50.15,2019,12,Undisclosed Investors
15,2019-12-14,Trell,Video,Experience Discovery Platform,Bangalore,Ruizheng Investment,Seed Funding,17.0,2019,12,Ruizheng Investment
16,2019-12-11,Rein Games,Gaming,Real Money Based Gaming Startup,Noida,Manipal Education and Medical Group (MEMG),Seed Funding,425.0,2019,12,"Manipal Education, Medical Group"
17,2019-12-20,Lenskart,E Commerce,Online Eyewear Shopping Portal,Faridabad,SoftBank Vision Fund,Series G,1963.5,2019,12,Softbank
18,2019-11-13,Freshworks,Software,Business And Customer Engagement Tools,San Francisco,"Sequoia, CapitalG, Accel",Series H,1275.0,2019,11,"Sequoia, Capitalg, Accel"
19,2019-11-14,Misters,Health and wellness,Men'S Health And Wellness Brand,Gurgaon,"Sauce.vc, Rainforest Ventures",Series B,4.131,2019,11,"Sauce.Vc, Rainforest Ventures"
20,2019-11-13,Sunstone Eduversity Pvt Ltd,Education,Elearning,Gurgaon,"Prime Venture Partners, LetsVenture, PS1 Venture and GlobalLogic co-founder Rajul Garg",Seed Funding,12.75,2019,11,"Prime Venture Partners, Letsventure, Ps1 Venture, Globallogic Co-Founder Rajul Garg"
21,2019-11-17,Burger Singh,Food and Beverages,Indian Burger Brand,Gurgaon,RB Investments,Venture,0.0,2019,11,Rb Investments
22,2019-11-18,Healthians,Healthcare,Healthcare Services,Gurgaon,"DG Daiwa Ventures, DG Incubation",Series B,102.0,2019,11,"Dg Daiwa Ventures, Dg Incubation"
23,2019-11-15,Ninjacart,B2B Marketing,Agritech,Bangalore,Trifecta Capital Advisors,Debt Funding,221.0,2019,11,Trifecta Capital Advisors
24,2019-11-20,Aye Finance,Finance,Financial Services To Msmes,Gurgaon,FinTech,Debt Funding,147.9957525,2019,11,Fintech
25,2019-11-12,Supergaming,Video Games,Social Gaming Platform,Pune,Dream Incubator,Seed Funding,11.05,2019,11,Dream Incubator
26,2019-11-20,Clumio,SaaS,Recovery Software,"San Jose,","Altimeter Capital, Sutter Hill Ventures",Series C,1147.5,2019,11,"Altimeter Capital, Sutter Hill Ventures"
27,2019-11-11,Ebikego,Last Mile Transportation,Electric Bike Rental,Amritsar,Startup Buddy,Seed Funding,2.55,2019,11,Startup Buddy
28,2019-11-19,Digital Mall Asia,E Commerce,Virtual E-Commerce Platform,New Delhi,Amour Infrastructure,Seed Funding,1870.0,2019,11,Amour Infrastructure
29,2019-11-18,Medikabazaar,Healthcare,B2B Platform For Medical Supplies,Mumbai,"Ackermans & van Haaren, HealthQuad, Rebright Partners, Toppan Printing",Series B,134.3,2019,11,"Ackermans, Van Haaren, Healthquad, Rebright Partners, Toppan Printing"
30,2019-11-15,Vogo,Last Mile Transportation,Scooter Sharing App,Kormangala,"Matrix Partners, Stellaris Venture Partners, Kalaari Capital",Series B,2405.5,2019,11,"Matrix Partners, Stellaris Venture Partners, Kalaari Capital"
31,2019-11-19,Furtados School Of Music,Education,Music Education,Tulangan,IAN Fund and DSG Consumer Partners,Unknown,1700.0,2019,11,"Ian Fund, Dsg Consumer Partners"
32,2019-11-25,Paytm,Finance,Mobile Wallet,Noida,Vijay Shekhar Sharma,Seed Funding,8500.0,2019,11,Vijay Shekhar Sharma
33,2019-10-04,Dunzo,Customer Service,Delivery Service,Bangalore,Lightbox,Series D,382.5,2019,10,Lightbox
34,2019-10-02,Udaan,B2B,Business Development,Bangalore,"Altimeter Capital, DST Global",Series D,4972.5,2019,10,"Altimeter Capital, Dst Global"
35,2019-10-21,The Man Company,Consumer Goods,Beauty And Grooming,Gurgaon,Ayushmann Khurana,Corporate Round,0.0,2019,10,Ayushmann Khurana
36,2019-09-05,Fpl Technologies,Finance,Financial Services,Pune,"Matrix Partners India, Sequoia India",Seed Funding,38.25,2019,9,"Matrix Partners India, Sequoia Capital"
37,2019-09-04,Cashflo,Finance,Invoice Discounting Platform And Sme Lending Marketplace,Mumbai,SAIF Partners,Series A,28.05,2019,9,Saif Partners
38,2019-09-04,Digital F5,"Advertising, Marketing",Digital Marketing Firm,Mumbai,TIW Private Equity,Private Equity,51.0,2019,9,Tiw Private Equity
39,2019-09-04,3Rdflix,SaaS,Education Technology,Hyderabad,Exfinity Venture Partners,Pre Series A,42.5,2019,9,Exfinity Venture Partners
40,2019-09-04,75F,IoT,Building Automation System,Burnsville,Breakthrough Energy Ventures,Series A,153.0,2019,9,Breakthrough Energy Ventures
41,2019-09-04,Myelin Foundry,IT,Deep-Technology,Bangalore,Endiya Partners,Seed Funding,8.5,2019,9,Endiya Partners
42,2019-09-04,Atomberg Technology,Consumer Technology,"Consumer Electronics, Home Appliances",Mumbai,A91 Partners,Series A,85.0,2019,9,A91 Partners
43,2019-09-04,Goqii,Healthcare,Wearable Fitness Bands,Menlo Park,Bennett Coleman and Company Ltd (BCCL),Series C,3825.0,2019,9,"Bennett Coleman, Company Ltd"
44,2019-09-03,Vyapar App,Accounting,Mobile-Based Accounting Software,Bangalore,"India Quotient, Axilor Ventures",Series A,42.5,2019,9,"India Quotient, Axilor Ventures"
45,2019-08-01,Cardekho,E Commerce,Automotive,Gurgaon,SC GG India Mobility Holdings LLC,Series C,170.0,2019,8,Sc Gg India Mobility Holdings Llc
46,2019-08-01,Progcap,Finance,Supply Chain Management,New Delhi,Sequoia India,Series A,42.5,2019,8,Sequoia Capital
47,2019-08-01,Mypetrolpump,Retail,Fuel Delivery,Bangalore,Undisclosed Investors,Seed Funding,13.6,2019,8,Undisclosed Investors
48,2019-08-01,Alteria Capital,Finance,Vc Funds,Mumbai,"Azim Premji, Binny Bansal",Single Venture,1190.0,2019,8,"Azim Premji, Binny Bansal"
49,2019-08-01,Pine Labs,IT,Last-Mile Retail Transaction Technology,Noida,Pine Labs Pte Ltd,Corporate Round,323.68,2019,8,Pine Labs Pte Ltd
50,2019-08-12,Meesho,E Commerce,Social Commerce,Bangalore,Naspers,Series D,1062.5,2019,8,Naspers
51,2019-08-13,Cars24,E Commerce,Car Retail,Gurgaon,MS Dhoni,Series D,93.5,2019,8,Ms Dhoni
52,2019-08-13,Uniphore,Customer Service Platform,Conversational Ai,Palo Alto,March Capital Partners,Series C,433.5,2019,8,March Capital Partners
53,2019-08-23,Zendrive,Automotive,Road Safety Analytics,San Francisco,XL Innovate,Series B,314.5,2019,8,Xl Innovate
54,2019-08-23,Lo Foods,Consumer Goods,Low Carb Food For Diabetics,Bangalore,"Rashmi Daga (founder, FreshMenu), Raveen Sastry (co-founder, Myntra) and Mitesh Shah (finance chief, BookMyShow)",Seed Funding,4.25,2019,8,"Rashmi Daga, Raveen Sastry, Mitesh Shah"
55,2019-08-23,Tala,Finance,Digital Lending Platform,Santa Monica,RPS Ventures,Series D,935.0,2019,8,Rps Ventures
56,2019-08-22,Indwealth,Finance,Wealth Management,Gurgaon,Tiger Global Management,Venture Round,127.5,2019,8,Tiger Global
57,2019-08-21,Hungerbox,Food and Beverages,B2B Foodtech,Bangalore,One97 Communications Ltd.,Series C,56.015,2019,8,One97 Communications Ltd
58,2019-08-23,Admitkard,Education,University Admissions,Noida,Growth DNA,Seed Funding,8.5,2019,8,Growth Dna
59,2019-08-19,Mishry Reviews,Services,Product Review,Gurgaon,Vir Sanghvi,Series A,0.0,2019,8,Vir Sanghvi
60,2019-08-19,Grofers,E Commerce,Grocery Delivery,Gurgaon,Softbank Vision Fund,Series F,595.0,2019,8,Softbank
61,2019-08-27,Rapido,Transport,Bike Taxi,Bangalore,Westbridge Capital,Series B,33150.0,2019,8,Westbridge Capital
62,2019-07-02,Renew Buy,Finance,Auto Insurance,Gurgaon,"Lok Capital, IIFL Wealth",Series B,161.5,2019,7,"Lok Capital, Iifl Wealth"
63,2019-07-02,Atlan,IT,Big Data,Singapore,WaterBridge Ventures,Pre Series A,21.25,2019,7,Waterbridge Ventures
64,2019-07-01,Wizcounsel,Compliance,Consulting,New Delhi,Kapil Dev,Angel,1.2325,2019,7,Kapil Dev
65,2019-07-03,Ola,Transport,Cabs,Kormangala,"DIG Investment Ab, Deshe Holdings, Samih Toukan and Hussam Khoury",Series J,8.5,2019,7,"Dig Investment Ab, Deshe Holdings, Samih Toukan, Hussam Khoury"
66,2019-07-01,Uniphore,Artificial Intelligence,Speech Recognition,Taramani,March Capital Partners,Series C,323.68,2019,7,March Capital Partners
67,2019-07-04,Daalchini Technologies,Food and Beverages,Digital Vending Machine,New Delhi,Artha Venture,Seed Funding,4.25,2019,7,Artha Venture
68,2019-07-10,Byjus,Education,Education,Bangalore,Qatar Investment Authority,Private Equity,1275.0,2019,7,Qatar Investment Authority
69,2019-07-11,Moglix,E Commerce,Industrial Tools And Equipments,Singapore,"Composite Capital Management, Sequoia Capital India, Tiger Global Management",Series D,510.0,2019,7,"Composite Capital Management, Sequoia Capital, Tiger Global"
70,2019-07-10,Ezyhaul,Tech,Logistics,Singapore,Undisclosed,Series B,136.0,2019,7,Undisclosed Investors
71,2019-07-10,Indus Os,Tech,Smartphone Operating System,Andheri,Ventureast,Series B,48.875,2019,7,Ventureast
72,2019-07-10,Healthassure,Health Care,Primary Care Medical Network,Mumbai,Blume Ventures,Series A,21.25,2019,7,Blume Ventures
73,2019-07-09,House Of Msasaba,Luxury Label,Clothes And Apparel,Mumbai,Binny Bansal,Series A,8.5,2019,7,Binny Bansal
74,2019-07-08,Board Infinity,Education,Full-Stack Career Platform,Chembur,Multiple Angel Investors,Angel Funding,2.7166425,2019,7,Multiple Angel Investors
75,2019-06-05,Nobroker,E Commerce,Real Estate,Bangalore,General Atlantic,Series C,433.5,2019,6,General Atlantic
76,2019-06-04,Bira91,Food and Beverages,Brewery,New Delhi,Anicut Capital,Debt Funding,85.0,2019,6,Anicut Capital
77,2019-06-03,Fabhotels,E Commerce,Hospitality,Gurgaon,"Goldman Sachs, Accel Partners and Qualcomm",Unknown,41.56479209,2019,6,"Goldman Sachs, Accel, Qualcomm"
78,2019-06-03,Avail Finance,Finance,Fintech,Bangalore,Matrix Partners,Series A,76.5,2019,6,Matrix Partners
79,2019-06-04,Bharatpe,Finance,Fintech,New Delhi,Insight Partners,Series B,637.5,2019,6,Insight Partners
80,2019-06-04,Recykal,Waste Management Service,Optimization,Hyderabad,"Triton Investment Advisors, Pidilite Industries director Ajay Parekh",Pre Series A,221.0,2019,6,"Triton Investment Advisors, Pidilite Industries Director Ajay Parekh"
81,2019-06-03,Agara Labs,Deep-Tech,Artificial Intelligence,Bangalore,Blume Ventures and RTP Global,Pre Series A,21.25,2019,6,"Blume Ventures, Rtp Global"
82,2019-06-06,Sistema,Agriculture,Hybrid Reactor Biodigestor,Nairobi,"Shell Foundation, DILA CAPITAL, Engie RDE Fund, EcoEnterprise Fund, EDFIMC (ElectriFI), Endeavor Catalyst Fund, CoCapital, Triodos, Alpha Mundi, and Lendahand",Unknown,23.281794780000002,2019,6,"Shell Foundation, DILA CAPITAL, Engie Rde Fund, Ecoenterprise Fund, EDFIMC, Endeavor Catalyst Fund, Cocapital, Triodos, Alpha Mundi, Lendahand"
83,2019-06-06,Chakr Innovation,Energy,Renewable Energy,New Delhi,IAN Fund,Series A,221.0,2019,6,Ian Fund
84,2019-06-06,Pratilipi,Digital Media,E-Books,Bangalore,Qiming Venture Partners,Series B,128.43075,2019,6,Qiming Venture Partners
85,2019-06-10,Bolo App,Digital Media,Video Platform,Bangalore,Nexus Venture Partners,Seed Funding,3.6567,2019,6,Nexus Venture Partners
86,2019-06-10,Okcredit,Finance,Financial Services,Haryana,Tiger Global Management,Series A,131.75,2019,6,Tiger Global
87,2019-06-06,Biz2Credit,Finance,Online Lending Platform,New York,WestBridge Capital,Series B,442.0,2019,6,Westbridge Capital
88,2019-06-08,Vogo,Transport,Dockless Scooter Rental Company,Karnataka,Alteria Capital,Debt Funding,30.464,2019,6,Alteria Capital
89,2019-06-04,Leegality,Services,Digital Documentation,Mumbai,Mumbai Angels,Series A,28.9,2019,6,Mumbai Angels
90,2019-05-06,Ola,Transport,Cabs,Bangalore,Tata Sons,Series A,0.0,2019,5,Tata Sons
91,2019-05-06,Saahas Zero Waste,Waste Management Service,Optimization,Bangalore,C4D Partners,Venture - Series Unknown,7.3831,2019,5,C4D Partners
92,2019-05-05,Styledotme,E Commerce,Fashion And Shopping,New Delhi,"Indian Angel Network and other angel investors, Innov8 founder Ritesh Malik, Josh Talks founders Supriya Paul and Shobha Banga, and former Hero Corporate president Rohit Chanana",Bridge Round,0.0,2019,5,"Indian Angel Network, Other Angel Investors, Innov8 Founder Ritesh Malik, Josh Talks Founders Supriya Paul, Shobha Banga, Former Hero Corporate President Rohit Chanana"
93,2019-05-01,Blackbuck,Transport,Logistics,Bangalore,"Goldman Sachs Investment Partners and Silicon Valley-based Accel, Wellington, Sequoia Capital, B Capital, LightStreet, Sands Capital and International Finance Corporation,",Series D,1275.0,2019,5,"Goldman Sachs Investment Partners, Silicon Valley-Based Accel, Wellington, Sequoia Capital, B Capital, Lightstreet, Sands Capital, International Finance Corporation"
94,2019-05-02,Zenoti,Saas,Beauty And Wellness Industry,Hyderabad,Tiger Global Management,Series C,425.0,2019,5,Tiger Global
95,2019-05-28,Ather Energy,Automobile,Electric Vehicle,Bangalore,Sachin Bansal,Series C,433.5,2019,5,Sachin Bansal
96,2019-05-28,Freshvnf,Agtech,Fresh Agriculture Produces,Mumbai,Equanimity Ventures,Seed Funding,1190.0,2019,5,Equanimity Ventures
97,2019-05-30,Glowroad,E Commerce,Retail,Bangalore,"Korea Investment Partners, Vertex Ventures",Series B,97.75,2019,5,"Korea Investment Partners, Vertex Ventures"
98,2019-05-31,Bira91,Food and Beverages,Brewery,New Delhi,Sixth Sense Ventures,Series B,47.6,2019,5,Sixth Sense Ventures
99,2019-04-16,Kuvera,Finance,Wealth Management,Bangalore,Eight Roads,Series A,382.5,2019,4,Eight Roads
100,2019-04-12,Medlife,E Commerce,Online Medicine,Bangalore,Prasid Uno Family Trust,Private Equity,144.5,2019,4,Prasid Uno Family Trust
101,2019-04-10,Kabadiwala,E Commerce,Waste Management,Bhopal,"Unilever, Beehive Capital Advisor, ABCOM Investments, Parekh Marine Transport,",Private Equity,3.6606525,2019,4,"Unilever, Beehive Capital Advisor, Abcom Investments, Parekh Marine Transport"
102,2019-04-13,Tripoto,Social Media,Travel,New Delhi,"Orchid India, Hornbill Orchid India Fund, Chiratae Ventures (formerly IDG Ventures), 3one4 Capital, Lasmer NV",Series B,30.5266875,2019,4,"Orchid India, Hornbill Orchid India Fund, Chiratae Ventures, 3One4 Capital, Lasmer Nv"
103,2019-04-12,Azah,Healthcare,Organic Wellness,Gurgaon,Unnamed angel investors,Seed Funding,1.7,2019,4,Unnamed Angel Investors
104,2019-04-11,Setu,Fintech,Banking,Bangalore,Lightspeed India Partners,Seed Funding,29.75,2019,4,Lightspeed India Partners
105,2019-04-10,Toppr,Education,E-Learning,Mumbai,Milestone,Debt and Preference capital,53.72697,2019,4,Milestone
106,2019-04-10,Craftsvilla,E Commerce,Fashion And Apparel,Mumbai,Supera Pte Ltd,Inhouse Funding,20.7697075,2019,4,Supera Pte Ltd
107,2019-04-10,Unacademy,Education,E-Learning,Bangalore,Kalyan Krishnamurthy,Angel Funding,2.6095,2019,4,Kalyan Krishnamurthy
108,2019-04-11,Clevertap,SaaS,Mobile Analytics And Marketing,Mumbai,"Sequoia India, Tiger Global Management, Accel Partners",Series B,221.0,2019,4,"Sequoia Capital, Tiger Global, Accel"
109,2019-04-19,My Healthcare,E Commerce,Software Solutions,Bengaluru and Gurugram,Sixth Sense Ventures,Series A,25.5,2019,4,Sixth Sense Ventures
110,2019-04-19,Krazybee,E Commerce,Lending Platform,Bangalore,"BAC Acquisitions, Unifi AIF, BRD Securities, Northern R Capital",Debt,1219.07,2019,4,"Bac Acquisitions, Unifi Aif, Brd Securities, Northern R Capital"
111,2019-04-17,Shuttl,Transport,Bus Aggregation,Gurgaon,New Atlantic Ventures,Venture Round,42.5,2019,4,New Atlantic Ventures
112,2019-04-17,Increff,Technology,Supply-Chain Technology Solutions,Bangalore,"021 Capita, Binny Bansal",Series A,25.5,2019,4,"021 Capita, Binny Bansal"
113,2019-02-01,Fleetx,AI,Logistics,Gurgaon,India Quotient and LetsVentures Angel Fund,Pre Series A,0.0,2019,2,"India Quotient, Letsventures Angel Fund"
114,2019-02-08,Zilingo,E Commerce,Fashion & Apparel,NCR,"Sequoia Capital and Temasek Holdings, EDBI, Burda Principal Investments, and Sofina",Series D,1921.0,2019,2,"Sequoia Capital, Temasek Holdings, EDBI, Burda Principal Investments, Sofina"
115,2019-02-13,Nanoclean Global,Nanotechnology,Anti-Pollution,New Delhi,"LetsVenture, PitchRight Venture, 91SpringBoard, AL Nour International Holdings and Mark V Investments",Series A,5.1,2019,2,"Letsventure, Pitchright Venture, 91Springboard, Al Nour International Holdings, Mark V Investments"
116,2018-02-14,Oyo,Hospitality,Budget Rooms,Gurgaon,DiDi Chuxing,Equity,850.0,2018,2,Didi Chuxing
117,2019-01-03,Cardekho,Automobile,Online Marketplace,Jaipur,"Sequoia India, Hillhouse Capital, Alphabets growth investment arm Capital G and Axis Bank",Series C,935.0,2019,1,"Sequoia Capital, Hillhouse Capital, Alphabets Growth Investment Arm Capital G, Axis Bank"
118,2019-01-04,Vyome Therapeutics Inc,Healthcare,Specialty Pharmaceutical,NCR,"Iron Pillar, Perceptive Advisors, Romulus Capital and Kalaari Capital",Series D,187.0,2019,1,"Iron Pillar, Perceptive Advisors, Romulus Capital, Kalaari Capital"
119,2019-01-04,Samunnati Financial Intermediation Services Pvt Ltd,Finance,Non-Banking Financial Company,Chennai,"MASSIF, a Dutch government fund",Debt-Funding,42.5,2019,1,"MASSIF, A Dutch Government Fund"
120,2018-12-04,Manch,Social Media,Hyperlocal Content,New Delhi,Stellaris Venture Partners,Seed Funding,5.95,2018,12,Stellaris Venture Partners
121,2018-12-01,Urbanclap,Services Platform,Home Services Marketplace,New Delhi,Steadview Capital and Vy Capital.,Series D,425.0,2018,12,"Steadview Capital, Vy Capital"
122,2018-12-02,Guiddoo,Travel Tech,Platform For Travel Agents,Mumbai,Individual Investors,Pre Series A,6.8,2018,12,Individual Investors
123,2018-12-02,Career Anna,Online Education,"Video-Based Certification, Trainings",Gurgaon,Individual Investors,Pre Series A,4.862,2018,12,Individual Investors
124,2018-12-04,Nagpur Wholesale,Online Marketplace,Ecommerce,Nagpur,Omphalos Ventures India LLP,Seed Funding,1.2155,2018,12,Omphalos Ventures India Llp
125,2018-12-06,Shopkirana,B2B,Ecommerce,Indore,"Info Edge, AET Fund, Akatsuki and Incubate Fund from Japan and Better Capital AngelList syndicate.",Seed Funding,17.0,2018,12,"Info Edge, Aet Fund, Akatsuki, Incubate Fund From Japan, Better Capital Angellist Syndicate"
126,2018-12-06,Buildsupply,"SaaS, Ecommerce","Real Estate, Erp",Gurgaon,"Venture Highway, GREE Ventures, Space Matrix, Individual Investors",Series A,29.75,2018,12,"Venture Highway, Gree Ventures, Space Matrix, Individual Investors"
127,2018-11-01,Godesi,Food and Beverages,Regional Flavours,Bangalore,Lead Angels Network,Angel Funding,1.1814575,2018,11,Lead Angels Network
128,2018-11-03,Veritas Finance,NBFC,Msme Finance,Chennai,"Norwest Venture Partners, CDC Group, the UKs Development Finance Institution and P Surendra Pai",Series D,236.2915,2018,11,"Norwest Venture Partners, Cdc Group, The Uks Development Finance Institution, P Surendra Pai"
129,2018-11-06,Meesho,E Commerce,Social Commerce,Bangalore,"Shunwei Capital, DST Partners and RPS Ventures",Series C,425.0,2018,11,"Shunwei Capital, Dst Partners, Rps Ventures"
130,2018-11-08,Mobile Premier League,Gaming,Mobile E-Sports,Bangalore,Undisclosed,Series A,4.25,2018,11,Undisclosed Investors
131,2018-11-08,Ar Bon Vivants,Food and Beverages,Meat Retail Chain,Jaipur,"RB Investments, Singapore",Equity,8.5,2018,11,"Rb Investments, Singapore"
132,2018-11-12,Blackbuck,Food Tech,Pos For Online Ordering,"New York, Bengaluru",Tiger Global,Series A,8.5,2018,11,Tiger Global
133,2018-11-12,Milkbasket,Food and Beverages,Micro-Delivery Grocery Service,New Delhi,Mayfield Fund,Series B,11.05,2018,11,Mayfield Fund
134,2018-11-13,Driveu,Transport,On-Demand Drivers,Bangalore,Stevens Creek Ventures,Mezzanine,8.5,2018,11,Stevens Creek Ventures
135,2018-11-14,Cleansecar,Services,Car Wash,Bangalore,Venture Catalysts,Angel Funding,4.25,2018,11,Venture Catalysts
136,2018-11-19,Automation Anywhere,Automation,Robotics,California,SoftBank Vision Fund,Series B,2550.0,2018,11,Softbank
137,2018-11-20,Healthifyme,Healthcare,Wellness Coach,Bangalore,"Sistema Asia Fund, VC Samsung NEXT, Chiratae Ventures, Inventus Capital, Blume Ventures and Innoven Capital.",Series B (Extension),51.0,2018,11,"Sistema Asia Fund, Vc Samsung Next, Chiratae Ventures, Inventus Capital, Blume Ventures, Innoven Capital"
138,2018-11-21,Genius Corner,Education,Personalized Learning,Noida,Individual investors,Seed Funding,2.363,2018,11,Individual Investors
139,2018-11-22,Aavishkaarintellecap Group,Investment,Sme Funding,Mumbai,Teachers Insurance and Annuity Association (TIAA),Equity Based Funding,263.5,2018,11,"Teachers Insurance, Annuity Association"
140,2018-11-22,Skillbox,Social Network,Art,Gurgaon,Individual investors,Seed Funding,0.0,2018,11,Individual Investors
141,2018-11-23,Signzy,Financial Tech,Digital Onboarding Solution,Mumbai,"Stellaris Venture Partners and Kalaari Capital, Rajan Anandan from Google, Dilip Khandwelwal from SAP Labs India, and Amrish Rau from PayU India",Series A,28.9,2018,11,"Stellaris Venture Partners, Kalaari Capital, Rajan Anandan From Google, Dilip Khandwelwal From Sap Labs India, Amrish Rau From Payu India"
142,2018-11-24,Engineerai,Software,Ai Platform,NCR,"Lakestar and Jungle Ventures, Softbanks DeepCore.",Series A,250.75,2018,11,"Lakestar, Jungle Ventures, Softbanks Deepcore"
143,2018-11-25,Incred Finance,Finance,Sme Lending,NCR,"Paragon Partners, Individual Investors",Private Equity,357.0,2018,11,"Paragon Partners, Individual Investors"
144,2018-11-25,Roposo,Social Media,Video Sharing,New Delhi,Bertelsmann India Investments,Series B,14.45,2018,11,Bertelsmann India Investments
145,2018-10-01,Northmist,Fashion,Mens Wear,New Delhi,Prashant Jaiswal,Angel Funding,0.0,2018,10,Prashant Jaiswal
146,2018-10-02,Origo Commodities India Pvt Ltd,Logistics,Supply Chain,Hyderabad,"Cooperative Oikocredit, Caspian and Hivos-Triodos Fund",Angel Funding,93.5,2018,10,"Cooperative Oikocredit, Caspian, Hivos-Triodos Fund"
147,2018-10-04,Grover Zampa,Food and Beverages,Wine,Mumbai,Ravi Viswanathan,Private Equity,69.7,2018,10,Ravi Viswanathan
148,2018-10-05,Droom,Automobile,New And Used Cars Platform,Gurgaon,ZigExN,Series E,25.5,2018,10,Zigexn
149,2018-10-11,Innov8,Real Estate,Co-Working,New Delhi,Credence Family Office,Pre Series A,34.0,2018,10,Credence Family Office
150,2018-10-12,Blackbuck,Logistics,Largest Trucking Platform,Bangalore,Sequoia Capital India,Private Equity,124.78,2018,10,Sequoia Capital
151,2018-10-12,Letstransport,Logistics,Book Trucks Online,Bangalore,Fosun International,Series C,102.0,2018,10,Fosun International
152,2018-09-01,Netmeds,Consumer Internet,Online Pharmacy Chain,Chennai,"Sistema Asia Fund, Sistema JSFC and Tanncam Investment",Private Equity,297.5,2018,9,"Sistema Asia Fund, Sistema Jsfc, Tanncam Investment"
153,2018-09-03,Udaan,B2B Platform,Logistics And Shipping,Bangalore,DST Global and Lightspeed Venture Partners global fund.,Private Equity,1912.5,2018,9,"Dst Global, Lightspeed Venture Partners Global Fund"
154,2018-09-03,Daily Hunt,Consumer Internet,News And Ebooks Mobile App,Bangalore,Falcon Edge,Private Equity,54.315,2018,9,Falcon Edge
155,2018-09-04,3Hcare,Healthcare,Healthcare Service Provider,New Delhi,Undisclosed Investors,Angel Funding,8.5,2018,9,Undisclosed Investors
156,2018-09-04,Happygoeasy,Consumer Internet,Online Travel Agecy,Gurgaon,"Korea Investment Partners (KIP), Samsung and China-based CITIC Capital and others",Private Equity,0.0,2018,9,"Korea Investment Partners, Samsung, China-Based Citic Capital, Undisclosed Investors"
157,2018-09-05,Nykaa,Consumer Internet,Online Marketplace For Multi-Brand Beauty Cosmetic And Wellness Products,Mumbai,Lighthouse,Private Equity,1336.2,2018,9,Lighthouse
158,2018-09-05,Mad Street Den,Technology,Computer Vision And Artificial Intelligence (Ai) Platform,Chennai,KDDI,Private Equity,0.0,2018,9,KDDI
159,2018-09-06,Dream11,Consumer Internet,Online Gaming Platform,Mumbai,"Tencent, Kalaari Capital and Private equity firm Multiples Alternate Asset Management",Private Equity,850.0,2018,9,"Tencent, Kalaari Capital, Private Equity Firm Multiples Alternate Asset Management"
160,2018-09-10,Mamaearth,Healthcare,Online Marketplace For Mother And Babycare Products,Gurgaon,Stellaris Ventures & Others,Private Equity,34.0,2018,9,"Stellaris Ventures, Undisclosed Investors"
161,2018-09-11,Autogrid,Technology,Ai-Based Energy Optimisation And Control Provider,Bangalore,"CLP Holdings Group, Innogy, rstead, and Tenaska",Private Equity,272.0,2018,9,"Clp Holdings Group, Innogy, Rstead, Tenaska"
162,2018-09-11,Pharmeasy,Consumer Internet,Online Marketplace For Pharmaceutical Products,Mumbai,InnoVen Capital,Debt Funding,46.75,2018,9,Innoven Capital
163,2018-09-11,Upwards,Finance,Online Micro Lending Marketplace,Mumbai,"Shunwei Capital,Quotient, Mayfield & Others",Private Equity,42.5,2018,9,"Shunwei Capital, Quotient, Mayfield, Undisclosed Investors"
